ID,Name,Sex,Age,Height,Weight,Sport,Event,Medal
118306,Kiyoshi Tanabe,M,19,159,51,Boxing,Boxing Men's Flyweight,Bronze
118308,"Richard Tsugio ""Sonny"" Tanabe, Jr.",M,23,175,75,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
118310,Yoko Tanabe,F,26,173,72,Judo,Judo Women's Half-Heavyweight,Silver
118314,Asuna Tanaka,F,24,164,52,Football,Football Women's Football,Silver
118328,Junko Tanaka,F,22,160,55,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
118345,Satoko Tanaka (-Uji),F,18,158,59,Swimming,Swimming Women's 100 metres Backstroke,Bronze
118359,Yusuke Tanaka,M,22,166,58,Gymnastics,Gymnastics Men's Team All-Around,Silver
118369,Sopita Tanasan,F,21,154,48,Weightlifting,Weightlifting Women's Flyweight,Gold
118374,eljko Tanaskovi,M,29,198,94,Volleyball,Volleyball Men's Volleyball,Bronze
118376,Akzhurek Dostykovich Tanatarov,M,25,170,66,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
118377,Galina Tancheva,F,17,175,51,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
118379,Vladislava Tancheva,F,17,177,52,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
118390,Tandara Caixeta,F,23,184,87,Volleyball,Volleyball Women's Volleyball,Gold
118394,"Alexandre ""Tande"" Ramos Samuel",M,22,200,85,Volleyball,Volleyball Men's Volleyball,Gold
118408,Tang Bin,F,22,182,72,Rowing,Rowing Women's Quadruple Sculls,Gold
118411,Tang Gonghong,F,25,172,120,Weightlifting,Weightlifting Women's Super-Heavyweight,Gold
118417,Tang Jingzhi,F,21,176,68,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
118418,Tang Jiuhong,F,23,172,65,Badminton,Badminton Women's Singles,Bronze
118424,Tang Lin,F,24,178,78,Judo,Judo Women's Half-Heavyweight,Gold
118425,Tang Lingsheng,M,25,160,60,Weightlifting,Weightlifting Men's Bantamweight,Gold
118426,Tang Mengni,F,22,169,59,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
118441,Tang Yongshu (-Hetian),F,21,161,59,Badminton,Badminton Women's Doubles,Bronze
118445,Helen Lesley Tanger,F,25,186,70,Rowing,Rowing Women's Coxed Eights,Bronze
118446,Trine Tangeraas,F,25,169,62,Football,Football Women's Football,Bronze
118454,Yoshitomo Tani,M,23,172,77,Baseball,Baseball Men's Baseball,Silver
118456,Kinuko Tanida (-Idogawa),F,25,167,65,Volleyball,Volleyball Women's Volleyball,Gold
118470,Ayumi Tanimoto,F,23,158,63,Judo,Judo Women's Half-Middleweight,Gold
118484,Elaine Tanner (-Watt),F,17,160,61,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
118489,Troy Richard Tanner,M,24,190,84,Volleyball,Volleyball Men's Volleyball,Gold
118497,Azize Tanrkulu,F,22,172,57,Taekwondo,Taekwondo Women's Featherweight,Silver
118498,Bahri Tanrkulu,M,24,185,83,Taekwondo,Taekwondo Men's Welterweight,Silver
118509,Paul Kipngetich Tanui,M,25,168,47,Athletics,"Athletics Men's 10,000 metres",Silver
118510,William Kiptarus Tanui,M,28,183,70,Athletics,Athletics Men's 800 metres,Gold
118516,Tao Hua,F,23,170,66,Softball,Softball Women's Softball,Silver
118519,Tao Luna,F,26,160,60,Shooting,"Shooting Women's Air Pistol, 10 metres",Gold
118525,Sheila Christine Taormina,F,27,160,54,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
118529,Khasanbi Urusbiyevich Taov,M,26,185,80,Judo,Judo Men's Middleweight,Bronze
118537,Nelson Antonio Tapia Ros,M,33,175,73,Football,Football Men's Football,Bronze
118551,Ashley Tara Tappin (-Doussan),F,17,178,66,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
118558,Anatoly Petrovich Tarabrin,M,25,184,79,Rowing,Rowing Men's Coxless Fours,Bronze
118563,Sergey Nikolayevich Tarakanov,M,22,202,96,Basketball,Basketball Men's Basketball,Bronze
118565,Nelli Yurivna Tarakanova,F,21,184,92,Rowing,Rowing Women's Coxed Eights,Silver
118571,Maricia Titie ran (-Iordache),F,22,179,77,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
118572,Ruslana Oleksivna Taran,F,25,164,54,Sailing,Sailing Women's Two Person Dinghy,Bronze
118582,Ion ranu,M,22,170,79,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
118596,Maksim Vladimirovich Tarasov,M,21,194,80,Athletics,Athletics Men's Pole Vault,Gold
118599,Sergey Petrovich Tarasov,M,28,176,70,Biathlon,Biathlon Men's 10 kilometres Sprint,Bronze
118633,Jri Tarmak,M,26,193,75,Athletics,Athletics Men's High Jump,Gold
118634,Jeneba Sylvia Tarmoh,F,22,165,59,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
118643,Lindsay Ann Tarpley (-Snow),F,20,165,58,Football,Football Women's Football,Gold
118649,Roser Tarrag Aymerich,F,19,171,62,Water Polo,Water Polo Women's Water Polo,Silver
118665,Antonio Deon Tarver,M,27,188,81,Boxing,Boxing Men's Light-Heavyweight,Bronze
118668,Davis Edward Tarwater,M,28,185,85,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
118690,Sideris Tasiadis,M,22,179,79,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
118693,"Roland Leslie ""Rolly"" Tasker",M,30,180,79,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
118694,Ayhan Takn,M,31,183,103,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze
118708,Olga Tass-Lemhnyi (Todenbier-),F,19,160,57,Gymnastics,Gymnastics Women's Team All-Around,Silver
118716,Tibor Tatai,M,24,185,84,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
118720,Nur Tatar,F,19,173,67,Taekwondo,Taekwondo Women's Welterweight,Silver
118723,Vladimir Iosifovich Tatarchuk,M,22,170,63,Football,Football Men's Football,Gold
118724,Anastasiya Alekseyevna Tatareva,F,19,165,44,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
118734,Frank Tate,M,19,183,71,Boxing,Boxing Men's Light-Middleweight,Gold
118737,"John ""Johnny"" Tate",M,21,193,104,Boxing,Boxing Men's Heavyweight,Bronze
118741,Chiyori Tateno (-Masuchi),F,22,155,56,Judo,Judo Women's Lightweight,Bronze
118747,Reidun Tatham,F,22,172,61,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
118754,Juri Tatsumi,F,21,160,52,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
118765,Ulrike Tauber (-Lebek),F,18,173,61,Swimming,Swimming Women's 200 metres Butterfly,Silver
118778,Diana Lurena Taurasi,F,22,183,70,Basketball,Basketball Women's Basketball,Gold
118780,Jai Desmond Taurima,M,28,188,80,Athletics,Athletics Men's Long Jump,Silver
118792,Hossein Tavakoli,M,22,180,105,Weightlifting,Weightlifting Men's Heavyweight,Gold
